Company Name,Market Cap,Total Funding,Date of Valuation
ActIfio,"1,1",208,"Март, 2014"
Adyen,"1,5",500,"Декабрь, 2104"
AirBnB,"25,5",2300,"Июнь, 2015"
AppDynamics,"1,1",177,"Июль, 2014"
Appnexis,"1,2",251,"Август, 2014"
Automattic,"1,2",190,"Май, 2014"
Beepi,2,380,"Май, 2014"
BeiBei,1,124,"Январь, 2015"
Betterment,"0,5",105,"Февраль, 2015"
BlaBla,1,110,"Июнь, 2015"
Bloom Energy,"2,9",1200,"Сентябрь, 2011"
BlueApron,2,193,"Июнь, 2015"
Cloudera,"4,1",670,"Март, 2014"
CloudFlare,1,72,"Декабрь, 2012"
ContextLogic (Wish),3,692,"Май, 2015"
Coupa Software,1,168,"Май, 2015"
Coupang,2,1400,"Июнь, 2015"
Credit Karma,"3,5",369,"Июнь, 2015"
Deem,"1,4",474,"Сентябрь, 2011"
DeliveryHero,"3,1",1300,"Июнь, 2015"
Dianping,4,1400,"Март, 2015"
DJI,8,105,"Май, 2015"
DoctoronDemand,"0,1",22,"Август, 2015"
Docusign,3,515,"Апрель, 2015"
Domo,2,459,"Март, 2105"
DropBox,10,607,"Январь, 2014"
Dwolla,"0,1",15,"Сентябрь, 2014"
EventBrite,1,200,"Март, 2014"
Evernote,1,302,"Май, 2012"
Factual,"0,15",20,"Июнь, 2015"
Fanatics,"3,1",320,"Июнь, 2013"
FanDuel,"1,3",363,"Июль, 2015"
Farfetch,1,195,"Март, 2015"
FirstDibs,1,200,"Декабрь, 2012"
FlipKart,15,3000,"Апрель, 2015"
Funding Circle,1,273,"Апрель, 2015"
Garena Online,"2,5",n/a,"Март, 2015"
Gilt Group,"1,1",275,"Апрель, 2011"
Good Technology,1,388,"Апрель, 2013"
GrabTaxi,"1,5",540,"Июль, 2015"
Hailo,"0,4",100,01.04.2015
Home24,1,1000,"Декабрь, 2014"
Honest Company,1,122,"Август, 2014"
Houzz,"2,3",215,"Октябрь, 2014"
Infinidot,"1,2",230,"Апрель, 2015"
InMobi,"2,5",216,"Декабрь, 2014"
Insidesales.com,"1,5",199,"Март, 2105"
Instacart,2,275,"Декабрь, 2014"
Intarcia,"1,8",598,"Март, 2014"
IronSource,"1,1",103,"Август, 2014"
Jasper Technologies,"1,4",204,"Апрель, 2014"
Jawbone,"3,3",531,"Февраль, 2014"
JustFab,1,250,"Август, 2014"
Kabam,1,245,"Август, 2014"
KDD,15,3000,"Июль, 2015"
Keybase,"0,1",11,"Июль, 2015"
Koudai Shopping,"1,5",364,"Октябрь, 2014"
Lamabang,1,120,"Март, 2015"
Lazada Group,"1,2",648,"Ноябрь, 2014"
Legendary Entertainment,3,900,"Сентябрь, 2014"
Lookout,1,284,"Август, 2014"
LootCrate,"0,5",n/a,"Июль, 2015"
Lufax,"9,6",488,"Март, 2015"
Lyft,"2,5",1000,"Март, 2015"
MagicLeap,2,592,"Октябрь, 2014"
MapBox,"0,1",10,"Октябрь, 2013"
MarkLogic,1,173,"Апрель, 2015"
Meituan,7,1100,"Январь, 2015"
MicroMax,5,250,"Апрель, 2015"
Moderna,3,675,"Январь, 2015"
Mogujie,1,200,"Июнь, 2014"
MongoDB,"1,6",311,"Декабрь, 2014"
MuleSoft,"1,5",259,01.05.2015
Munchery,"0,3",30,"Май, 2015"
Navdy,"0,25",27,"Апрель, 2015"
NextDoor,"1,1",215,"Март, 2015"
Nutanix,2,312,"Август, 2014"
Ola Cabs,"2,5",677,"Март, 2015"
One97 Communications,"1,9",593,"Март, 2015"
Oscar Health,"1,5",320,"Апрель, 2015"
Palantir,15,1000,"Сентябрь, 2014"
Pinterest,11,1300,"Февраль, 2015"
PluralSight,1,169,"Август, 2014"
Powa,"2,7",156,"Ноябрь, 2014"
Prosper,"1,9",360,"Апрель, 2105"
Proteus Digital Health,"1,1",354,"Июнь, 2014"
PureStorage,3,470,"Апрель, 2014"
Qualtrics,1,220,"Июль, 2014"
Quikr,1,350,"Сентябрь, 2014"
Razer,1,50,"Октябрь, 2014"
Robinhood,"0,085",16,"Сентябрь, 2014"
Shazam,1,170,"Январь, 2015"
Shyp,"0,25",62,"Апрель, 2015"
SimpliViti,1,276,"Март, 2015"
Slack,"2,8",315,"Март, 2015"
Snapchat,16,1200,"Май, 2015"
SnapDeal,2,1000,"Октябрь, 2014"
Social Finance,"1,3",399,"Февраль, 2015"
SpaceX,12,1100,"Январь, 2015"
Spotify,"8,5",1000,"Апрель, 2015"
Sprinklr,"1,2",170,"Март, 2015"
Square,6,495,"Июль, 2014"
Stripe,"3,5",190,"Декабрь, 2014"
SunRun,"1,3",220,"Март, 2015"
Tango,1,367,"Март, 2014"
Tanium,"1,8",142,"Март, 2015"
Theranos,9,400,"Июнь, 2014"
TrendyGroup,2,200,"Февраль, 2012"
Uber,"41,2",4600,"Декабрь, 2014"
Vancl,3,512,"Декабрь, 2011"
Warby Parker,"1,2",218,"Апрель, 2015"
Wealthfront,"0,7",65,"Октябрь, 2015"
WeWork,10,969,"Июнь, 2015"
Xiaomi,46,1400,"Декабрь, 2014"
YelloMobile,1,112,"Декабрь, 2014"
Zenefits,"4,5",596,"Май, 2015"
Zhong An Online,8,934,"Июнь, 2015"
ZocDoc,"1,6",230,"Июнь, 2015"
Zomoto Media,1,163,"Март, 2015"
