Node 1,Node 2,Relationship
Asia,ActIfio,Location
Asia,AIG,Location
Asia,AirBnB,Location
Asia,Akamai,Location
Asia,Alibaba,Location
Asia,Alibaba,Location
Asia,Amazon,Location
Asia,Amazon,Location
Asia,American Express,Location
Asia,AppDynamics,Location
Asia,Apple,Location
Asia,Appnexis,Location
Asia,Automattic,Location
Asia,Bank of America,Location
Asia,BeiBei,Location
Asia,Bharti,Location
Asia,BMW,Location
Asia,Chase,Location
Asia,China Mobile,Location
Asia,ChinaCom,Location
Asia,Cisco,Location
Asia,Citibank,Location
Asia,Cloudera,Location
Asia,CloudFlare,Location
Asia,Coupa Software,Location
Asia,Coupang,Location
Asia,Deem,Location
Asia,Dell,Location
Asia,Dianping,Location
Asia,Discover,Location
Asia,Disney,Location
Asia,DJI,Location
Asia,Docusign,Location
Asia,Domo,Location
Asia,DropBox,Location
Asia,Ebay,Location
Asia,Evernote,Location
Asia,Fanatics,Location
Asia,FirstData,Location
Asia,FitBit,Location
Asia,FlipKart,Location
Asia,Ford,Location
Asia,Garena Online,Location
Asia,Garmin,Location
Asia,Geico,Location
Asia,GM,Location
Asia,Good Technology,Location
Asia,Google,Location
Asia,GoPro,Location
Asia,GrabTaxi,Location
Asia,Groupon,Location
Asia,Hanhua Financial,Location
Asia,Honda,Location
Asia,Houzz,Location
Asia,HP,Location
Asia,HSBC,Location
Asia,HTC,Location
Asia,Hyundai,Location
Asia,Infinidot,Location
Asia,InMobi,Location
Asia,Insidesales.com,Location
Asia,IronSource,Location
Asia,Jasper Technologies,Location
Asia,Jawbone,Location
Asia,JD.com,Location
Asia,Keybase,Location
Asia,Kia,Location
Asia,Koudai Shopping,Location
Asia,Lamabang,Location
Asia,Lazada Group,Location
Asia,Legendary Entertainment,Location
Asia,Lenovo,Location
Asia,LG,Location
Asia,Liberty Global,Location
Asia,Lookout,Location
Asia,LootCrate,Location
Asia,Lufax,Location
Asia,Lyft,Location
Asia,MarkLogic,Location
Asia,MasterCard,Location
Asia,Meituan,Location
Asia,MicroMax,Location
Asia,Microsoft,Location
Asia,Mobileye,Location
Asia,Mogujie,Location
Asia,MuleSoft,Location
Asia,News Corp,Location
Asia,Nissan,Location
Asia,Nokia,Location
Asia,NTT,Location
Asia,Nutanix,Location
Asia,Ola Cabs,Location
Asia,One97 Communications,Location
Asia,Palantir,Location
Asia,Paypal,Location
Asia,Pinterest,Location
Asia,PureStorage,Location
Asia,Qualtrics,Location
Asia,Quikr,Location
Asia,Razer,Location
Asia,Salesforce.com,Location
